,日期Date,指数代码Index Code,指数名称Index Name,指数英文名称Index Name(Eng.),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng.),交易所Exchange
104,2021-01-26,500,内地企业,Mainland Enterprises,3333,中国恒大,China Evergrande Group,HKG
105,2021-01-26,500,内地企业,Mainland Enterprises,3347,泰格医药,"HANGZHOU TIGERMED CONSULTING CO., LTD.",HKG
106,2021-01-26,500,内地企业,Mainland Enterprises,3380,龙光集团,Logan Group Company Limited,HKG
107,2021-01-26,500,内地企业,Mainland Enterprises,3606,福耀玻璃,"Fuyao Glass Industry Group Co., Ltd.",HKG
108,2021-01-26,500,内地企业,Mainland Enterprises,3690,美团-W,Meituan,HKG
109,2021-01-26,500,内地企业,Mainland Enterprises,3692,翰森制药,Hansoh Pharmaceutical Group Company Limited,HKG
110,2021-01-26,500,内地企业,Mainland Enterprises,3759,康龙化成,"Pharmaron Beijing Co., Ltd.",HKG
111,2021-01-26,500,内地企业,Mainland Enterprises,3808,中国重汽,Sinotruk HK,HKG
112,2021-01-26,500,内地企业,Mainland Enterprises,3888,金山软件,Kingsoft,HKG
113,2021-01-26,500,内地企业,Mainland Enterprises,3968,招商银行,CN Merchants BK,HKG
114,2021-01-26,500,内地企业,Mainland Enterprises,3988,中国银行,Bank of China,HKG
115,2021-01-26,500,内地企业,Mainland Enterprises,3993,洛阳钼业,CN Molybdenum,HKG
116,2021-01-26,500,内地企业,Mainland Enterprises,3998,波司登,Bosideng,HKG
117,2021-01-26,500,内地企业,Mainland Enterprises,6030,中信证券,CITIC Securities,HKG
118,2021-01-26,500,内地企业,Mainland Enterprises,6066,中信建投证券,"CSC Financial Co., Ltd.",HKG
119,2021-01-26,500,内地企业,Mainland Enterprises,6098,碧桂园服务,Country Garden Services Holdings Company Limited,HKG
120,2021-01-26,500,内地企业,Mainland Enterprises,6099,招商证券,"China Merchants Securities Co.,Ltd.",HKG
121,2021-01-26,500,内地企业,Mainland Enterprises,6110,滔搏,Topsports International Holdings Limited,HKG
122,2021-01-26,500,内地企业,Mainland Enterprises,6186,中国飞鹤,China Feihe Limited,HKG
123,2021-01-26,500,内地企业,Mainland Enterprises,6808,高鑫零售,Sun Art,HKG
124,2021-01-26,500,内地企业,Mainland Enterprises,6837,海通证券,"Haitong Securities Co., Ltd.",HKG
125,2021-01-26,500,内地企业,Mainland Enterprises,6862,海底捞,HAIDILAO INTERNATIONAL HOLDING LTD.,HKG
126,2021-01-26,500,内地企业,Mainland Enterprises,6865,福莱特玻璃,"Flat Glass Group Co., Ltd.",HKG
127,2021-01-26,500,内地企业,Mainland Enterprises,6886,HTSC,Huatai Securities Co Ltd,HKG
