,日期Date,指数代码Index Code,指数名称Index Name,指数英文名称Index Name(Eng.),成分券代码Constituent Code,成分券名称Constituent Name,成分券英文名称Constituent Name(Eng.),交易所Exchange,权重(%)Weight(%)
150,2020-12-31,300,沪深300,CSI 300,601878,浙商证券,"ZHESHANG SECURITIES CO., LTD.",SHH,0.14
151,2020-12-31,300,沪深300,CSI 300,601881,中国银河,"China Galaxy Securities Co., Ltd.",SHH,0.08
152,2020-12-31,300,沪深300,CSI 300,601888,中国中免,China Tourism Group Duty Free Corporation Limited,SHH,1.41
153,2020-12-31,300,沪深300,CSI 300,601899,紫金矿业,Zijin Mining Group Co Ltd,SHH,0.65
154,2020-12-31,300,沪深300,CSI 300,601901,方正证券,Founder Securities Co Ltd,SHH,0.22
155,2020-12-31,300,沪深300,CSI 300,601916,浙商银行,"CHINA ZHESHANG BANK CO.,LTD",SHH,0.07
156,2020-12-31,300,沪深300,CSI 300,601919,中远海控,"COSCO SHIPPING Holdings Co., Ltd.",SHH,0.3
157,2020-12-31,300,沪深300,CSI 300,601933,永辉超市,Yonghui Superstores Co Ltd,SHH,0.14
158,2020-12-31,300,沪深300,CSI 300,601939,建设银行,China Construction Bank,SHH,0.22
159,2020-12-31,300,沪深300,CSI 300,601985,中国核电,"China National Nuclear Power Co.,Ltd.",SHH,0.16
160,2020-12-31,300,沪深300,CSI 300,601988,中国银行,Bank of China Ltd,SHH,0.34
161,2020-12-31,300,沪深300,CSI 300,601989,中国重工,China Shipbuilding Industry Co Ltd,SHH,0.2
162,2020-12-31,300,沪深300,CSI 300,601990,南京证券,"Nanjing Securities Co., Ltd.",SHH,0.09
163,2020-12-31,300,沪深300,CSI 300,601998,中信银行,China Citic Bank Corporation Limited,SHH,0.08
164,2020-12-31,300,沪深300,CSI 300,603019,中科曙光,"Dawning Information Industry Co., Ltd.",SHH,0.18
165,2020-12-31,300,沪深300,CSI 300,603087,甘李药业,Gan & Lee Pharmaceuticals,SHH,0.04
166,2020-12-31,300,沪深300,CSI 300,603156,养元饮品,"Hebei Yangyuan ZhiHui Beverage Co., Ltd.",SHH,0.07
167,2020-12-31,300,沪深300,CSI 300,603160,汇顶科技,"Shenzhen Huiding Technology Co., Ltd.",SHH,0.18
168,2020-12-31,300,沪深300,CSI 300,603195,公牛集团,"GONGNIU GROUP CO., LTD.",SHH,0.06
169,2020-12-31,300,沪深300,CSI 300,603259,药明康德,"WuXi AppTec Co., Ltd.",SHH,0.88
170,2020-12-31,300,沪深300,CSI 300,603288,海天味业,Foshan Haitian Flavouring and Food Company Ltd.,SHH,0.99
171,2020-12-31,300,沪深300,CSI 300,603369,今世缘,"Jiangsu King's Luck Brewery Joint-Stock Co., Ltd.",SHH,0.18
172,2020-12-31,300,沪深300,CSI 300,603392,万泰生物,"BEIJING WANTAI BIOLOGICAL PHARMACY ENTERPRISE CO., LTD.",SHH,0.05
173,2020-12-31,300,沪深300,CSI 300,603501,韦尔股份,"Will Semiconductor CO.,Ltd. Shanghai",SHH,0.51
174,2020-12-31,300,沪深300,CSI 300,603658,安图生物,"Autobio Diagnostics Co., Ltd.",SHH,0.1
175,2020-12-31,300,沪深300,CSI 300,603799,华友钴业,"ZHEJIANG HUAYOU COBALT CO., LTD.",SHH,0.28
176,2020-12-31,300,沪深300,CSI 300,603833,欧派家居,Oppein Home Group Inc.,SHH,0.12
177,2020-12-31,300,沪深300,CSI 300,603899,晨光文具,SHANGHAI M&G STATIONERY INC.,SHH,0.17
178,2020-12-31,300,沪深300,CSI 300,603986,兆易创新,GigaDevice Semiconductor (Beijing) Inc.,SHH,0.33
179,2020-12-31,300,沪深300,CSI 300,603993,洛阳钼业,"China Molybdenum Co., Ltd.",SHH,0.23
180,2020-12-31,300,沪深300,CSI 300,688008,澜起科技,"Montage Technology Co., Ltd.",SHH,0.19
181,2020-12-31,300,沪深300,CSI 300,688009,中国通号,China Railway Signal & Communication Corporation Limited,SHH,0.08
182,2020-12-31,300,沪深300,CSI 300,688012,中微公司,Advanced Micro-Fabrication Equipment Inc. China,SHH,0.17
183,2020-12-31,300,沪深300,CSI 300,688036,传音控股,"SHENZHEN TRANSSION HOLDINGS CO., LTD.",SHH,0.12
184,2020-12-31,300,沪深300,CSI 300,1,平安银行,"Ping An Bank Co., Ltd.",SHZ,0.96
185,2020-12-31,300,沪深300,CSI 300,2,万科A,China Vanke Co Ltd,SHZ,1.0
186,2020-12-31,300,沪深300,CSI 300,63,中兴通讯,ZTE Corporation,SHZ,0.46
187,2020-12-31,300,沪深300,CSI 300,66,中国长城,"CHINA GREATWALL TECHNOLOGY GROUP CO., LTD.",SHZ,0.17
188,2020-12-31,300,沪深300,CSI 300,69,华侨城A,Shenzhen Overseas Chinese Town Co Ltd,SHZ,0.15
189,2020-12-31,300,沪深300,CSI 300,100,TCL科技,TCL Technology Group Corporation,SHZ,0.51
190,2020-12-31,300,沪深300,CSI 300,157,中联重科,Zoomlion Heavy Industry Science & Technology Co Ltd,SHZ,0.23
191,2020-12-31,300,沪深300,CSI 300,166,申万宏源,"Shenwan Hongyuan Group CO., LTD",SHZ,0.24
192,2020-12-31,300,沪深300,CSI 300,333,美的集团,"Midea Group CO., LTD",SHZ,2.47
193,2020-12-31,300,沪深300,CSI 300,338,潍柴动力,Wei Chai Power Co Ltd,SHZ,0.39
194,2020-12-31,300,沪深300,CSI 300,425,徐工机械,XCMG Construction Machinery Co Ltd,SHZ,0.13
195,2020-12-31,300,沪深300,CSI 300,538,云南白药,"Yunnan Baiyao Group Co., Ltd.",SHZ,0.3
196,2020-12-31,300,沪深300,CSI 300,568,泸州老窖,Luzhou Lao Jiao Co Ltd,SHZ,0.84
197,2020-12-31,300,沪深300,CSI 300,596,古井贡酒,Anhui Gujing Distillery Co Ltd,SHZ,0.16
198,2020-12-31,300,沪深300,CSI 300,625,长安汽车,Chongqing Changan Automobile Co Ltd,SHZ,0.25
199,2020-12-31,300,沪深300,CSI 300,627,天茂集团,Hubei Biocause Pharmaceutical Co Ltd,SHZ,0.05
200,2020-12-31,300,沪深300,CSI 300,651,格力电器,"Gree Electric Appliances,Inc. of Zhuhai",SHZ,1.52
201,2020-12-31,300,沪深300,CSI 300,656,金科股份,"Jinke Property Group Co.,Ltd.",SHZ,0.12
202,2020-12-31,300,沪深300,CSI 300,661,长春高新,Chang Chun High and New Technology Industry (Group) Inc.,SHZ,0.65
203,2020-12-31,300,沪深300,CSI 300,671,阳光城,"Sunshine City Group Co., Ltd.",SHZ,0.06
204,2020-12-31,300,沪深300,CSI 300,703,恒逸石化,Hengyi Petrochemical Co Ltd,SHZ,0.12
205,2020-12-31,300,沪深300,CSI 300,708,中信特钢,"CITIC Pacific Special Steel Group Co., Ltd",SHZ,0.11
206,2020-12-31,300,沪深300,CSI 300,723,美锦能源,"Shanxi Meijin Energy Co.,Ltd.",SHZ,0.07
207,2020-12-31,300,沪深300,CSI 300,725,京东方A,BOE Technology Group Co Ltd,SHZ,0.83
208,2020-12-31,300,沪深300,CSI 300,728,国元证券,Guoyuan Securities Company Limited,SHZ,0.12
209,2020-12-31,300,沪深300,CSI 300,768,中航西飞,AVIC XI'AN AIRCRAFT INDUSTRY GROUP COMPANY LTD.,SHZ,0.26
210,2020-12-31,300,沪深300,CSI 300,776,广发证券,"GF Securities Co., Ltd.",SHZ,0.25
211,2020-12-31,300,沪深300,CSI 300,783,长江证券,Changjiang Securities Company Limited,SHZ,0.17
212,2020-12-31,300,沪深300,CSI 300,786,北新建材,Beijing New Building Materials Public Ltd Co,SHZ,0.21
213,2020-12-31,300,沪深300,CSI 300,858,五 粮 液,Wuliangye Yibin Co Ltd,SHZ,2.89
214,2020-12-31,300,沪深300,CSI 300,860,顺鑫农业,Beijing Shunxin Agriculture Co Ltd,SHZ,0.19
215,2020-12-31,300,沪深300,CSI 300,876,新 希 望,"NEW HOPE LIUHE CO., LTD",SHZ,0.26
216,2020-12-31,300,沪深300,CSI 300,895,双汇发展,Henan Shuanghui Investment & Development Co Ltd,SHZ,0.25
217,2020-12-31,300,沪深300,CSI 300,938,紫光股份,"Unisplendour Co., Ltd.",SHZ,0.15
218,2020-12-31,300,沪深300,CSI 300,961,中南建设,"Jiangsu Zhongnan Construction Group Co.,Ltd",SHZ,0.09
219,2020-12-31,300,沪深300,CSI 300,963,华东医药,Huadong Medicine Co Ltd,SHZ,0.12
220,2020-12-31,300,沪深300,CSI 300,977,浪潮信息,"Inspur Electronic Information Industry Co.,Ltd",SHZ,0.14
221,2020-12-31,300,沪深300,CSI 300,1979,招商蛇口,"CHINA MERCHANTS SHEKOU INDUSTRIAL ZONE HOLDINGS CO.,LTD",SHZ,0.22
222,2020-12-31,300,沪深300,CSI 300,2001,新和成,Zhejiang NHU Co Ltd,SHZ,0.22
223,2020-12-31,300,沪深300,CSI 300,2007,华兰生物,Hualan Biological Engineering INC,SHZ,0.24
224,2020-12-31,300,沪深300,CSI 300,2008,大族激光,"Han's Laser Technology Industry Group Co., Ltd.",SHZ,0.19
225,2020-12-31,300,沪深300,CSI 300,2024,苏宁易购,"SUNING.COM CO.,LTD.",SHZ,0.15
226,2020-12-31,300,沪深300,CSI 300,2027,分众传媒,"Focus Media Information Technology Co., Ltd.",SHZ,0.52
227,2020-12-31,300,沪深300,CSI 300,2032,苏泊尔,"Zhejiang Supor Co.,Ltd",SHZ,0.07
228,2020-12-31,300,沪深300,CSI 300,2044,美年健康,"Meinian Onehealth Healthcare Holdings Co., Ltd.",SHZ,0.16
229,2020-12-31,300,沪深300,CSI 300,2049,紫光国微,"Unigroup Guoxin Microelectronics Co., Ltd.",SHZ,0.29
